Date,IVV,IWB,IWF,IJH,IJR,IWM,IWD,IVW,IVE,IWV,IUSG,IUSV,IWO,IWN,IJK,IJJ,IJS,IJT,OEF,IWR,IWP,IWS,DVY,ITOT,IMCG,ILCG,IMCB,ILCB,ILCV,IMCV,ISCG,ISCV,ISCB,IWC,IWY,IWX,IWL,EUSA,HDV,USMV,MTUM,VLUE,SIZE,QUAL,DGRO,LRGF,SMLF,SMMV,SMMD,DIVB
2000-05-31,-2.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-06-30,2.47,2.51,7.6,1.48,5.89,8.69,-4.68,8.05,-3.93,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-07-31,-1.57,-1.7,-4.41,1.51,-2.48,-3.25,1.39,-4.48,1.98,-1.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-08-31,6.19,7.44,9.18,11.13,8.82,7.59,5.54,5.77,6.68,7.46,9.27,5.46,10.49,4.41,14.84,7.12,5.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-09-30,-5.27,-4.68,-9.53,-0.69,-2.74,-3.24,0.86,-9.76,-0.05,-4.59,-9.22,0.75,-5,-0.68,-2.5,1.47,-0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-10-31,-0.42,-1.16,-4.71,-3.36,0.69,-4.24,2.48,-2.62,1.86,-1.38,-4.92,2.26,-8.09,-0.28,-5.48,-0.97,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-11-30,-7.88,-9.14,-14.73,-7.6,-10.42,-10.41,-3.72,-10.63,-5.12,-9.21,-14.96,-3.64,-18.18,-2.07,-14.18,0.11,-6.62,,-7.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-12-31,0.47,1.19,-3.21,7.61,12.31,8.54,4.99,-4.36,5.12,1.64,-2.64,5.34,6.08,10.71,4.99,10.2,14.06,,-1.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-01-31,3.54,3.27,6.9,2.21,4.27,5.22,0.35,2.82,4.2,3.42,6.99,0.52,8.1,2.75,-0.02,4.41,7.93,,4.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-02-28,-9.12,-9.33,-16.99,-5.71,-6.11,-6.56,-2.79,-11.76,-6.64,-9.15,-16.75,-2.64,-13.71,-0.15,-8.23,-3.32,-4.23,,-10.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-03-31,-6.32,-6.62,-10.86,-7.44,-4.6,-4.92,-3.53,-9.01,-3.94,-6.5,-10.74,-3.4,-9.1,-1.62,-10.86,-4.41,-4.16,-5.17,-7.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-04-30,7.75,8.01,12.65,11.03,7.57,7.77,4.91,8.91,6.76,7.99,12.58,4.87,12.22,4.58,13.52,9.04,6.01,9.63,9.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-05-31,0.66,0.67,-1.47,2.34,1.9,2.42,2.2,0.23,1.03,0.78,-1.18,2.22,2.29,2.53,2.71,2.03,2.51,1.11,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-06-30,-2.44,-2.27,-2.37,-0.42,3.56,3.4,-2.23,-1.36,-3.25,-1.87,-2,-1.79,2.59,4.04,-0.98,0.15,3.72,3,-2.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-07-31,-0.99,-1.39,-2.52,-1.5,-1.6,-5.48,-0.24,-0.28,-1.75,-1.66,-2.93,-0.36,-8.53,-2.33,-3,-0.02,-0.91,-2.3,-1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-08-31,-6.26,-6.09,-8.19,-3.29,-2.3,-3.26,-4.01,-6.72,-5.78,-5.92,-8.06,-3.77,-6.31,-0.36,-4.58,-2.05,-1.62,-3.02,-7.04,-3.87,-7.27,-1.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-09-30,-8.07,-8.47,-9.99,-12.44,-13.52,-13.47,-7.02,-6.73,-9.51,-8.8,-10.41,-7.32,-16.15,-11.04,-13.8,-11.22,-14.37,-12.7,-7.59,-12.07,-16.55,-9.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-10-31,1.88,2.01,5.11,4.43,5.31,5.67,-0.86,3.67,-0.01,2.08,5.25,-0.74,9.32,2.36,7.64,1.61,4.38,6.19,2.21,3.97,10.48,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-11-30,7.66,7.67,9.57,7.42,7.3,7.74,5.78,8.84,6.32,7.67,9.5,5.89,8.34,7.15,8.87,6.04,7.98,6.57,7.54,8.35,10.75,6.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-12-31,0.86,1.05,-0.21,5.2,6.74,6.09,2.34,0.12,1.51,1.39,0.2,2.59,6.11,6.08,3.95,6.32,7.2,6.29,0.02,3.98,3.78,4.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-01-31,-1.46,-1.27,-1.78,-0.57,0.86,-1.05,-0.79,-0.16,-2.74,-1.26,-1.88,-0.64,-3.57,1.3,-1.06,-0.09,1.84,-0.15,-1.76,-0.61,-3.28,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-02-28,-1.92,-2.01,-4.15,0.11,-1.72,-2.74,0.15,-2.97,-0.91,-2.06,-4.32,0.17,-6.47,0.6,-2.21,2.35,-0.42,-3.11,-1.78,-1.08,-5.67,1.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-03-31,3.74,4.11,3.44,7.13,7.87,8.01,4.72,2.37,5.09,4.36,3.75,4.91,8.68,7.45,6.86,7.37,8.66,7.01,2.79,6.01,7.61,5.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-04-30,-6.07,-5.74,-8.19,-0.48,2.82,0.9,-3.45,-7.18,-5.02,-5.24,-7.76,-2.91,-2.19,3.48,-2.61,1.48,4.08,1.43,-7.8,-1.96,-5.29,-0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-05-31,-0.74,-0.87,-2.41,-1.7,-4.15,-4.44,0.5,-1.94,0.39,-1.16,-2.67,0.2,-5.84,-3.31,-1.65,-1.76,-3.81,-4.57,-0.47,-1.16,-3.02,-0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
